# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 778
stdtag;canontag;frsynonyme
maxillaire proeminent;prognathisme maxillaire;maxillaire proéminent
maxillaire recule;classe iii d'angle;maxillaire reculé
mesio occlusion;classe iii d'angle;mésio-occlusion
mesiocclusion dentaire;classe iii d'angle;mésiocclusion dentaire
metal inoxydable;métal;métal inoxydable
mini implant;minivis;mini implant
mini vis;minivis;mini-vis
mixed dentition;dentition mixte;mixed dentition
morsure beante;béance;morsure béante
morsure croisee;occlusion croisée;morsure croisée
morsure inversee;occlusion inversée;morsure inversée
morsure ouverte;béance;morsure ouverte
morsure profonde;supraclusion;morsure profonde
mort pulpaire;nécrose pulpaire;mort pulpaire
mouth breathing;respiration buccale;mouth breathing
mouvement corporel;translation;mouvement corporel
nail biting;onychophagie;nail biting
nanisme dentaire;microdontie;nanisme dentaire
nasal breathing;ventilation nasale;nasal breathing
necrose pulpaire;nécrose pulpaire;nécrose pulpaire
nettoyage dentaire;détartrage;nettoyage dentaire
nickel titane;niti;nickel-titane
occlusion croisee;occlusion croisée;occlusion croisée
occlusion inverse;occlusion inversée;occlusion inverse
occlusion inversee;occlusion inversée;occlusion inversée
occlusion normale;classe i d'angle;occlusion normale
open bite;béance;open bite
operation machoire;chirurgie;opération mâchoire
orthognathic surgery;chirurgie;orthognathic surgery
over bite;supraclusion;over bite
over jet;supraposition;over jet
overjet augmente;classe ii d'angle;overjet augmenté
panoramique dentaire;panoramique;panoramique dentaire
periodontal disease;maladie parodontale;periodontal disease
permanent dentition;dentition permanente;permanent dentition
permutation dentaire;transposition;permutation dentaire
petite machoire;micrognathie;petite mâchoire
petite molaire;prémolaire;petite molaire
plaque amovible;plaque amovible;plaque amovible
plaque eventail;plaque éventail;plaque éventail
plaque orthodontique;plaque amovible;plaque orthodontique
plaque papillon;plaque papillon;plaque papillon
plaque y;plaque y;plaque y
polissage interproximal;stripping;polissage interproximal
position ectopique;ectopie;position ectopique
poussee linguale;interposition linguale;poussée linguale
primary dentition;dentition temporaire;primary dentition
proglissement fonctionnel;proglissement;proglissement fonctionnel
proglissement mandibulaire;proglissement;proglissement mandibulaire
prognathie dentaire;classe iii d'angle;prognathie dentaire
prognathie mandibulaire;prognathisme mandibulaire;prognathie mandibulaire
prognathie maxillaire;prognathisme maxillaire;prognathie maxillaire
prognathisme mandibulaire;prognathisme mandibulaire;prognathisme mandibulaire
prognathisme maxillaire;prognathisme maxillaire;prognathisme maxillaire
pulpe necrosee;nécrose pulpaire;pulpe nécrosée
quad helix;quad helix;quad helix
quadri helix;quad helix;quadri-hélix
raccourcissement radiculaire;résorption radiculaire;raccourcissement radiculaire
radio panoramique;panoramique;radio panoramique
radiographie panoramique;panoramique;radiographie panoramique
receding gums;récession gingivale;receding gums
recession gingivale;récession gingivale;récession gingivale
recession parodontale;récession gingivale;récession parodontale
recidive orthodontique;récidive;récidive orthodontique
recouvrement horizontal;supraposition;recouvrement horizontal
reduction amelaire;stripping;réduction amélaire
reduction interproximale;stripping;réduction interproximale
removable appliance;plaque amovible;removable appliance
rendez vous;consultation;rendez-vous
resin composite;composite;resin composite
resine composite;composite;résine composite
resorption apicale;résorption radiculaire;résorption apicale
resorption radiculaire;résorption radiculaire;résorption radiculaire
respirateur buccal;respiration buccale;respirateur buccal
respiration buccale;respiration buccale;respiration buccale
respiration nasale;ventilation nasale;respiration nasale
respiration orale;respiration buccale;respiration orale
ressaut articulaire;ressaut articulaire;ressaut articulaire
ressaut atm;ressaut articulaire;ressaut atm
retraction gingivale;récession gingivale;rétraction gingivale
retrognathie dentaire;classe ii d'angle;rétrognathie dentaire
retrognathie mandibulaire;classe ii d'angle;rétrognathie mandibulaire
retrognathie maxillaire;classe iii d'angle;rétrognathie maxillaire
retrusion dentaire;classe ii d'angle;rétrusion dentaire
rotation axiale;rotation;rotation axiale
rotation radiculaire;torque;rotation radiculaire
rubber bands;élastiques intermaxillaires;rubber bands
scan 3d;scanner;scan 3d
scan numerique;scanner intra-oral;scan numérique
sleep apnea;apnée du sommeil;sleep apnea
sortie dentaire;égression;sortie dentaire
sous eruption;infraposition;sous-éruption
space maintainer;mainteneur d'espace;space maintainer
supra eruption;supraposition;supra-éruption
supra position;supraposition;supra-position
surdimensionnement dentaire;macrodontie;surdimensionnement dentaire
tong e;tong e;tong e
tongue thrust;interposition linguale;tongue thrust
tooth decay;caries dentaires;tooth decay
torsion radiculaire;torque;torsion radiculaire
traitement interceptif;traitement interceptif;traitement interceptif
traitement precoce;traitement interceptif;traitement précoce
translation dentaire;translation;translation dentaire
troubles atm;atm;troubles atm
twisted tooth;rotation;twisted tooth
urgence orthodontique;urgence;urgence orthodontique
usure dentaire;bruxisme;usure dentaire
ventilation nasale;ventilation nasale;ventilation nasale
ventilation orale;respiration buccale;ventilation orale
version axiale;rotation;version axiale
vestibulo position;vestibulo-version;vestibulo-position
vestibulo version;vestibulo-version;vestibulo-version
visage asymetrique;asymétrie faciale;visage asymétrique
wire poking;fil qui pique;wire poking
3d;scanner;3d
4helix;quad helix;4helix
acier;métal;acier
activateur;activateur;activateur
aero;aéro;aéro
aerophonoscope;aéro;aérophonoscope
agenesie;agénésie;agénésie
alginate;empreinte;alginate
alignement;alignement;alignement
aligneur;gouttière;aligneur
alveolie;bipro;alvéolie
ankilose;ankylose;ankilose
ankylose;ankylose;ankylose
anodontie;agénésie;anodontie
appointment;consultation;appointment
arc;arc;arc
arcade;arcade;arcade
archwire;arc;archwire
arracher;avulsion;arracher
arthrite;arthrite;arthrite
arthrose;arthrose;arthrose
articulation;phonation;articulation
asymetrie;latérodéviation;asymétrie
atm;atm;atm
attache;ligature;attache
attaches;bagues;attaches
