# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 539
stdadj;canonadj;canontag;frsynadj
majeure;sévère;rétroalvéolie;majeure
majeurs;sévère;béance;majeurs
majeurs;sévère;bruxisme;majeurs
majeurs;sévère;classe ii d'angle;majeurs
majeurs;sévère;classe iii d'angle;majeurs
majeurs;sévère;classe iii squelettique;majeurs
majeurs;sévère;endoalvéolie;majeurs
majeurs;sévère;proalvéolie;majeurs
majeurs;sévère;prognathisme mandibulaire;majeurs
majeurs;sévère;prognathisme maxillaire;majeurs
majeurs;sévère;rétroalvéolie;majeurs
marquee;sévère;béance;marquée
marquee;sévère;bruxisme;marquée
marquee;sévère;classe ii d'angle;marquée
marquee;sévère;classe iii d'angle;marquée
marquee;sévère;classe iii squelettique;marquée
marquee;sévère;endoalvéolie;marquée
marquee;sévère;proalvéolie;marquée
marquee;sévère;prognathisme mandibulaire;marquée
marquee;sévère;prognathisme maxillaire;marquée
marquee;sévère;rétroalvéolie;marquée
marques;sévère;béance;marqués
marques;sévère;bruxisme;marqués
marques;sévère;classe ii d'angle;marqués
marques;sévère;classe iii d'angle;marqués
marques;sévère;classe iii squelettique;marqués
marques;sévère;endoalvéolie;marqués
marques;sévère;proalvéolie;marqués
marques;sévère;prognathisme mandibulaire;marqués
marques;sévère;prognathisme maxillaire;marqués
marques;sévère;rétroalvéolie;marqués
milieux;central;diastemata;milieux
milieux;central;diastème;milieux
milieux;central;incisive;milieux
moderee;modéré;béance;modérée
moderee;modéré;bruxisme;modérée
moderee;modéré;classe i squelettique;modérée
moderee;modéré;classe ii d'angle;modérée
moderee;modéré;classe iii d'angle;modérée
moderee;modéré;classe iii squelettique;modérée
moderee;modéré;endoalvéolie;modérée
moderee;modéré;proalvéolie;modérée
moderee;modéré;prognathisme mandibulaire;modérée
moderee;modéré;prognathisme maxillaire;modérée
moderee;modéré;rétroalvéolie;modérée
moderes;modéré;béance;modérés
moderes;modéré;bruxisme;modérés
moderes;modéré;classe i squelettique;modérés
moderes;modéré;classe ii d'angle;modérés
moderes;modéré;classe iii d'angle;modérés
moderes;modéré;classe iii squelettique;modérés
moderes;modéré;endoalvéolie;modérés
moderes;modéré;proalvéolie;modérés
moderes;modéré;prognathisme mandibulaire;modérés
moderes;modéré;prognathisme maxillaire;modérés
moderes;modéré;rétroalvéolie;modérés
parfait;idéal;classe i squelettique;parfait
prevues;programmé;avulsion;prévues
severes;sévère;béance;sévères
severes;sévère;bruxisme;sévères
severes;sévère;classe ii d'angle;sévères
severes;sévère;classe iii d'angle;sévères
severes;sévère;classe iii squelettique;sévères
severes;sévère;endoalvéolie;sévères
severes;sévère;proalvéolie;sévères
severes;sévère;prognathisme mandibulaire;sévères
severes;sévère;prognathisme maxillaire;sévères
severes;sévère;rétroalvéolie;sévères
totales;total;avulsion;totales
traumas;traumatique;chirurgie;traumas
ancree;fixe;contention;ancrée
ancree;fixe;ligature;ancrée
ancres;fixe;contention;ancrés
ancres;fixe;ligature;ancrés
avants;antérieur;béance;avants
diurne;diurne;bruxisme;diurne
droite;droit;béance;droite
droite;droit;latérodéviation;droite
droite;droit;malocclusion;droite
droits;droit;béance;droits
droits;droit;latérodéviation;droits
droits;droit;malocclusion;droits
en bas;mandibulaire;endoalvéolie;en bas
en bas;mandibulaire;latérodéviation;en bas
en bas;mandibulaire;malposition;en bas
en bas;mandibulaire;proalvéolie;en bas
en bas;mandibulaire;rétroalvéolie;en bas
entier;total;avulsion;entier
gauche;gauche;béance;gauche
gauche;gauche;latérodéviation;gauche
gauche;gauche;malocclusion;gauche
graves;sévère;béance;graves
graves;sévère;bruxisme;graves
graves;sévère;classe ii d'angle;graves
graves;sévère;classe iii d'angle;graves
graves;sévère;classe iii squelettique;graves
graves;sévère;endoalvéolie;graves
graves;sévère;proalvéolie;graves
graves;sévère;prognathisme mandibulaire;graves
graves;sévère;prognathisme maxillaire;graves
graves;sévère;rétroalvéolie;graves
ideale;idéal;classe i squelettique;idéale
ideaux;idéal;classe i squelettique;idéaux
inclus;inclus;dentition temporaire;inclus
legere;modéré;béance;légere
legere;modéré;bruxisme;légere
legere;modéré;classe i squelettique;légere
legere;modéré;classe ii d'angle;légere
legere;modéré;classe iii d'angle;légere
legere;modéré;classe iii squelettique;légere
legere;modéré;endoalvéolie;légere
legere;modéré;proalvéolie;légere
legere;modéré;prognathisme mandibulaire;légere
legere;modéré;prognathisme maxillaire;légere
legere;modéré;rétroalvéolie;légere
legers;modéré;béance;légers
legers;modéré;bruxisme;légers
legers;modéré;classe i squelettique;légers
legers;modéré;classe ii d'angle;légers
legers;modéré;classe iii d'angle;légers
legers;modéré;classe iii squelettique;légers
legers;modéré;endoalvéolie;légers
legers;modéré;proalvéolie;légers
legers;modéré;prognathisme mandibulaire;légers
legers;modéré;prognathisme maxillaire;légers
legers;modéré;rétroalvéolie;légers
lesion;traumatique;chirurgie;lésion
majeur;sévère;béance;majeur
majeur;sévère;bruxisme;majeur
majeur;sévère;classe ii d'angle;majeur
majeur;sévère;classe iii d'angle;majeur
majeur;sévère;classe iii squelettique;majeur
majeur;sévère;endoalvéolie;majeur
majeur;sévère;proalvéolie;majeur
majeur;sévère;prognathisme mandibulaire;majeur
majeur;sévère;prognathisme maxillaire;majeur
majeur;sévère;rétroalvéolie;majeur
marque;sévère;béance;marqué
marque;sévère;bruxisme;marqué
marque;sévère;classe ii d'angle;marqué
marque;sévère;classe iii d'angle;marqué
marque;sévère;classe iii squelettique;marqué
marque;sévère;endoalvéolie;marqué
marque;sévère;proalvéolie;marqué
marque;sévère;prognathisme mandibulaire;marqué
marque;sévère;prognathisme maxillaire;marqué
marque;sévère;rétroalvéolie;marqué
milieu;central;diastemata;milieu
milieu;central;diastème;milieu
milieu;central;incisive;milieu
modere;modéré;béance;modéré
modere;modéré;bruxisme;modéré
modere;modéré;classe i squelettique;modéré
modere;modéré;classe ii d'angle;modéré
